genome,material_class,valid,e_clean,dE_H,dE_CH3,dE_C,dE_split,E_act,coking_index,segregation_energy,rate_constant,temperature_K,cost_penalty,pyrolysis_viable,E_act_censored,model_confidence,needs_dft_validation,worker_id,gpu_id,ntec_evidence_status,ntec_assistance,error
"('MoltenMetal', 'Pb', 'Ni', 5.0, 600)",MoltenMetal,True,-121.89683781169379,0.8612216934561694,-1.6039884090423548,7.1439812481403635,2.2136424779891968,1.828185486793518,5.421537861228025,0.0,0.004404714609730499,600.0,0.0,True,False,0.5636088342706671,False,0,0,,,
"('MoltenMetal', 'Pb', 'Au', 40.0, 950)",MoltenMetal,True,-120.58350064124626,0.28237190097570064,-1.9662806987762558,6.032644063234329,1.272500395774827,1.2635002374648963,5.467900261282928,-0.6036539077758931,1981954.8360619396,950.0,-2.0,True,False,0.5636088342706671,False,0,0,,,
"('MoltenMetal', 'Pb', 'Pb', 7.5, 600)",MoltenMetal,True,-120.78459257152016,0.8024105057120288,-1.66788554191589,7.114307671785355,2.090934157371521,1.7545604944229125,5.509486660361297,0.0,0.01829534031374004,600.0,0.0,True,False,0.5025000000350001,False,0,0,,,
"('MoltenMetal', 'Sb', 'Ce', 7.5, 1300)",MoltenMetal,True,-135.59978704875806,-0.39558849483728764,-2.66751360893252,2.525541573762851,-0.1066929101944254,0.4359842538833448,3.3167185634374263,0.0,204078369357.9499,1300.0,-0.8761483590329144,True,False,0.5636088342706671,False,0,0,,,
"('SolidCatalyst', 'Ru', 'FeP', 'bcc111', 0.005263157894736831, ('Li', 'Li'), 1, 0)",SolidCatalyst,True,-2.2206086016340123,0.21172370761635406,-0.8951652050018843,1.7439439594745494,2.272967696189852,2.574725772142389,1.3204965442418413,0.0,1.0567036811357744,1000.0,-2.0,True,False,0.8664825313502684,False,0,0,,,
"('SolidCatalyst', 'Pd', 'SiO2', 'bcc111', -0.07894736842105264, ('Y', 'Li'), 1, 0)",SolidCatalyst,True,-175.4232379819225,-2.6797328963875806,-3.247978925704924,-0.3445188701152375,-2.9713026285171225,0.01,5.014946922659924,0.0,8904349914533.771,1000.0,-1.3362432036016334,True,True,0.9127014328916923,True,0,0,,,
"('SolidCatalyst', 'Ag', 'Nb2O5', 'bcc100', 0.05789473684210525, ('Li', 'Li'), 1, 0)",SolidCatalyst,True,-93.76193088565893,0.22968139499425533,1.3102600574492875,5.053344517946243,4.496350646018925,4.242262984514194,4.593981727957733,0.0,4.168075279931551e-09,1000.0,-1.0152524968535586,True,False,0.8664825313502684,False,0,0,,,
"('SolidCatalyst', 'Ta', 'Graphite', 'bcc110', 0.1, ('Bi', 'Bi'), 4, 2)",SolidCatalyst,True,-351.74008534898667,-0.7327457442879428,-2.7639930248259894,-0.4832594096660756,-0.54032957553855,0.4647528183460875,0.98223207890981,0.0,45472505538.80397,1000.0,-2.0,True,False,0.9675000000349999,False,0,0,unknown,"{'status': 'unknown', 'barrier_reduction_eV': 0.0, 'coking_bonus': 0.0, 'missing': ['shear_rate_s', 'interfacial_field_V_m', 'mechanical_power_W_kg', 'carbon_detachment_fraction'], 'conditions': {'shear_rate_s': None, 'interfacial_field_V_m': None, 'mechanical_power_W_kg': None, 'carbon_detachment_fraction': None, 'field_measurement_source': None}}",
"('SAC', 'Ru', 'N3S', 'N-porous_carbon', 'NH3')",SAC,True,-128.78999487298597,-2.435276128351692,-4.690746068954493,0.21081045269964704,-4.169613003730802,0.01,5.081362709403031,-0.2388286209541633,8904349914533.771,1000.0,-2.0,True,True,0.610000000035,True,0,0,,,
"('SAC', 'Rh', 'N2O2', 'MoS2_sheet', 'pyridine')",SAC,True,-126.94773166238016,-0.9017587676644361,-2.7991945743560755,2.5182941257953786,-0.7445441484451294,0.4288190960884094,4.321811661124251,-0.013418365984057346,68999647821.73495,1000.0,-2.0,True,False,0.610000000035,False,0,0,,,
